BioProject	Run	Common Name
PRJEB56265	ERR10235200	S50676
PRJEB56265	ERR10235203	S68911
PRJEB56265	ERR10238125	S160
PRJEB56320	ERR10288611	YU796NS
PRJEB56320	ERR10288612	YELLOW3-4
PRJEB56320	ERR10288613	W816G
PRJEB56320	ERR10288614	W818G
PRJEB56320	ERR10288615	VA52
PRJEB56320	ERR10288616	YONG28
PRJEB56320	ERR10288617	W601S
PRJEB56320	ERR10288618	YANG
PRJEB56320	ERR10288619	SD15
PRJEB56320	ERR10288620	T141
PRJEB56320	ERR10288621	YE-CHI-HUNG
PRJEB56320	ERR10288622	W802G
PRJEB56320	ERR10288623	W703
PRJEB56320	ERR10288624	ZS1791
PRJEB56320	ERR10288625	S-56
PRJEB56320	ERR10288626	T146
PRJEB56320	ERR10288627	TR
PRJEB56320	ERR10288628	T9
PRJEB56320	ERR10288629	TZU-CHIAO-HSI-W
PRJEB56320	ERR10288630	VA38
PRJEB56320	ERR10288632	U-123
PRJEB56320	ERR10288633	SG-30A
PRJEB56320	ERR10288634	SEAGULLSEVENTEE
PRJEB56320	ERR10288635	SD42
PRJEB56320	ERR10288636	YE4
PRJEB56320	ERR10288637	R30
PRJEB56320	ERR10288638	PHTD5
PRJEB56320	ERR10288640	PHV07
PRJEB56320	ERR10288641	R197
PRJEB56320	ERR10288642	R134
PRJEB56320	ERR10289252	PHWRZ
PRJEB56320	ERR10289277	PHT73
PRJEB56320	ERR10289278	PHJ90
PRJEB56320	ERR10289279	R101
PRJEB56320	ERR10289280	PHR61
PRJEB56320	ERR10289281	PHW06
PRJEB56320	ERR10289282	PHN18
PRJEB56320	ERR10289283	PHTE4
PRJEB56320	ERR10289284	PHHB9
PRJEB56320	ERR10289285	PHHB4
PRJEB56320	ERR10289286	PHN41
PRJEB56320	ERR10289287	R53
PRJEB56320	ERR10289288	PHRE1
PRJEB56320	ERR10289289	PHGG7
PRJEB56320	ERR10289291	PHEM7
PRJEB56320	ERR10289292	R225
PRJEB56320	ERR10289293	PHEW7
PRJEB56320	ERR10289294	PHFA5
PRJEB56320	ERR10289295	PHEM9
PRJEB56320	ERR10289296	PHGV6
PRJEB56320	ERR10289297	PHDD6
PRJEB56320	ERR10289298	PHJ65
PRJEB56320	ERR10289299	PHAW6
PRJEB56320	ERR10289300	PA405
PRJEB56320	ERR10289301	PA778
PRJEB56320	ERR10289302	OQ601
PRJEB56320	ERR10289303	OQ101
PRJEB56320	ERR10289304	PA468
PRJEB56320	ERR10289305	PH5HK
PRJEB56320	ERR10289306	PA392
PRJEB56320	ERR10289307	NY_166__NEVEH_Y
PRJEB56320	ERR10289308	NY159_NEVEHYAAR
PRJEB56320	ERR10289309	OH3167B
PRJEB56320	ERR10289310	OS426
PRJEB56320	ERR10289311	PA891
PRJEB56320	ERR10289312	NP87
PRJEB56320	ERR10289313	NQ402
PRJEB56320	ERR10289314	NO-380
PRJEB56320	ERR10289315	NORTH7
PRJEB56320	ERR10289316	NKBCC03
PRJEB56320	ERR10289317	NKNP901
PRJEB56320	ERR10289318	NK907
PRJEB56320	ERR10289319	NK794
PRJEB56320	ERR10289320	ND262
PRJEB56320	ERR10289322	ND287
PRJEB56320	ERR10289323	ND251
PRJEB56320	ERR10289324	ND283
PRJEB56320	ERR10289325	ND260
PRJEB56320	ERR10289326	ND167
