index	snpversity_id	project_number	sra	name
1	1_SRR17046119	PRJNA783885	SRR17046119	1
2	2_SRR17046002	PRJNA783885	SRR17046002	2
3	3_SRR17045989	PRJNA783885	SRR17045989	3
4	4_SRR17045988	PRJNA783885	SRR17045988	4
5	5_SRR17045987	PRJNA783885	SRR17045987	5
6	6_SRR17045986	PRJNA783885	SRR17045986	6
7	7_SRR17045984	PRJNA783885	SRR17045984	7
8	8_SRR17045983	PRJNA783885	SRR17045983	8
9	9_SRR17045982	PRJNA783885	SRR17045982	9
10	10_SRR17045932	PRJNA783885	SRR17045932	10
11	11_SRR17045910	PRJNA783885	SRR17045910	11
12	12_SRR17045899	PRJNA783885	SRR17045899	12
13	13_SRR17045888	PRJNA783885	SRR17045888	13
14	14_SRR17045877	PRJNA783885	SRR17045877	14
15	15_SRR17046058	PRJNA783885	SRR17046058	15
16	16_SRR17046047	PRJNA783885	SRR17046047	16
17	17_SRR17046035	PRJNA783885	SRR17046035	17
18	18_SRR17046024	PRJNA783885	SRR17046024	18
19	19_SRR17046013	PRJNA783885	SRR17046013	19
20	20_SRR17045991	PRJNA783885	SRR17045991	20
21	21_SRR17045990	PRJNA783885	SRR17045990	21
22	32_SRR11302120	PRJNA609577	SRR11302120	32
23	32_SRR11302121	PRJNA609577	SRR11302121	32
24	32_CRR505040	PRJCA009749	CRR505040	32
25	148_CRR505670	PRJCA009749	CRR505670	148
26	150_SRR8906751	PRJNA531553	SRR8906751	150
27	177_SRR8906698	PRJNA531553	SRR8906698	177
28	178_SRR11302110	PRJNA609577	SRR11302110	178
29	196_CRR504889	PRJCA009749	CRR504889	196
30	238_SRR8906741	PRJNA531553	SRR8906741	238
31	267_CRR505616	PRJCA009749	CRR505616	267
32	268_SRR8907070	PRJNA531553	SRR8907070	268
33	271_CRR505613	PRJCA009749	CRR505613	271
34	434_SRR11301769	PRJNA609577	SRR11301769	434
35	434_SRR11301770	PRJNA609577	SRR11301770	434
36	444_SRR11301560	PRJNA609577	SRR11301560	444
37	444_SRR11301561	PRJNA609577	SRR11301561	444
38	446_SRR11301778	PRJNA609577	SRR11301778	446
39	446_SRR11301779	PRJNA609577	SRR11301779	446
40	485_SRR11302023	PRJNA609577	SRR11302023	485
41	485_SRR11302024	PRJNA609577	SRR11302024	485
42	485_CRR505393	PRJCA009749	CRR505393	485
43	488_SRR11301641	PRJNA609577	SRR11301641	488
44	488_SRR11301642	PRJNA609577	SRR11301642	488
45	489_CRR505394	PRJCA009749	CRR505394	489
46	501_SRR8906934	PRJNA531553	SRR8906934	501
47	515_SRR11301556	PRJNA609577	SRR11301556	515
48	515_SRR11301557	PRJNA609577	SRR11301557	515
49	618_SRR11302014	PRJNA609577	SRR11302014	618
50	647_SRR8907116	PRJNA531553	SRR8907116	647
51	707_CRR504919	PRJCA009749	CRR504919	707
52	740_CRR505311	PRJCA009749	CRR505311	740
53	778_CRR505303	PRJCA009749	CRR505303	778
54	787_SRR11301608	PRJNA609577	SRR11301608	787
55	787_SRR11301609	PRJNA609577	SRR11301609	787
56	787_CRR505312	PRJCA009749	CRR505312	787
57	792_CRR505159	PRJCA009749	CRR505159	792
58	793_CRR505313	PRJCA009749	CRR505313	793
59	803_SRR11301765	PRJNA609577	SRR11301765	803
60	803_SRR11301766	PRJNA609577	SRR11301766	803
61	806_CRR504710	PRJCA009749	CRR504710	806
62	812_SRR11301776	PRJNA609577	SRR11301776	812
63	812_SRR11301777	PRJNA609577	SRR11301777	812
64	812_SRR8907084	PRJNA531553	SRR8907084	812
65	830_SRR17046179	PRJNA783885	SRR17046179	830
66	831_SRR17046178	PRJNA783885	SRR17046178	831
67	832_SRR11301764	PRJNA609577	SRR11301764	832
68	832_SRR17046131	PRJNA783885	SRR17046131	832
69	832_SRR8907093	PRJNA531553	SRR8907093	832
70	833_SRR17046036	PRJNA783885	SRR17046036	833
71	833_CRR504280	PRJCA009749	CRR504280	833
72	834_SRR17045985	PRJNA783885	SRR17045985	834
73	835_SRR17045974	PRJNA783885	SRR17045974	835
74	836_SRR17045867	PRJNA783885	SRR17045867	836
75	837_SRR17045856	PRJNA783885	SRR17045856	837
76	838_SRR17045845	PRJNA783885	SRR17045845	838
77	839_SRR17046106	PRJNA783885	SRR17046106	839
78	840_SRR17046177	PRJNA783885	SRR17046177	840
79	841_SRR17046166	PRJNA783885	SRR17046166	841
80	842_SRR17046155	PRJNA783885	SRR17046155	842
81	842_CRR505407	PRJCA009749	CRR505407	842
82	843_SRR17046144	PRJNA783885	SRR17046144	843
83	844_SRR17046085	PRJNA783885	SRR17046085	844
84	845_SRR17046074	PRJNA783885	SRR17046074	845
85	846_SRR17045967	PRJNA783885	SRR17045967	846
86	847_SRR17045956	PRJNA783885	SRR17045956	847
87	848_SRR17045945	PRJNA783885	SRR17045945	848
88	849_SRR17046142	PRJNA783885	SRR17046142	849
89	850_SRR17046130	PRJNA783885	SRR17046130	850
90	897_CRR504885	PRJCA009749	CRR504885	897
91	904_ERR10290814	PRJEB56320	ERR10290814	904
92	904_SRR11302165	PRJNA609577	SRR11302165	904
93	904_SRR11302166	PRJNA609577	SRR11302166	904
94	911_SRR11302127	PRJNA609577	SRR11302127	911
95	912_SRR11302126	PRJNA609577	SRR11302126	912
96	950_CRR504711	PRJCA009749	CRR504711	950
97	1003_SRR17045852	PRJNA783885	SRR17045852	1003
98	1004_SRR17045851	PRJNA783885	SRR17045851	1004
99	1005_SRR17045850	PRJNA783885	SRR17045850	1005
100	1006_SRR17045849	PRJNA783885	SRR17045849	1006
101	1007_SRR17045848	PRJNA783885	SRR17045848	1007
102	1008_SRR17045847	PRJNA783885	SRR17045847	1008
103	1009_SRR17045846	PRJNA783885	SRR17045846	1009
104	1010_SRR17045844	PRJNA783885	SRR17045844	1010
105	1011_SRR17045843	PRJNA783885	SRR17045843	1011
106	1012_SRR17045842	PRJNA783885	SRR17045842	1012
107	1013_SRR17045841	PRJNA783885	SRR17045841	1013
108	1014_SRR17045840	PRJNA783885	SRR17045840	1014
109	1015_SRR17046111	PRJNA783885	SRR17046111	1015
110	1016_SRR17046110	PRJNA783885	SRR17046110	1016
111	1017_SRR17046109	PRJNA783885	SRR17046109	1017
112	1018_SRR17046108	PRJNA783885	SRR17046108	1018
113	1019_SRR17046107	PRJNA783885	SRR17046107	1019
114	1021_SRR17046105	PRJNA783885	SRR17046105	1021
115	1022_SRR17046104	PRJNA783885	SRR17046104	1022
116	1023_SRR17046103	PRJNA783885	SRR17046103	1023
117	1024_SRR17046102	PRJNA783885	SRR17046102	1024
118	1025_SRR17046101	PRJNA783885	SRR17046101	1025
119	1026_SRR17046100	PRJNA783885	SRR17046100	1026
120	1027_SRR17046099	PRJNA783885	SRR17046099	1027
121	1028_SRR17046098	PRJNA783885	SRR17046098	1028
122	1029_SRR17046097	PRJNA783885	SRR17046097	1029
123	1030_SRR17046096	PRJNA783885	SRR17046096	1030
124	1031_SRR17046176	PRJNA783885	SRR17046176	1031
125	1032_SRR17046175	PRJNA783885	SRR17046175	1032
126	1033_SRR17046174	PRJNA783885	SRR17046174	1033
127	1034_SRR17046173	PRJNA783885	SRR17046173	1034
128	1035_SRR17046172	PRJNA783885	SRR17046172	1035
129	1036_SRR17046171	PRJNA783885	SRR17046171	1036
130	1037_SRR17046170	PRJNA783885	SRR17046170	1037
131	1038_SRR17046169	PRJNA783885	SRR17046169	1038
132	1039_SRR17046168	PRJNA783885	SRR17046168	1039
133	1040_SRR17046167	PRJNA783885	SRR17046167	1040
134	1041_SRR17046165	PRJNA783885	SRR17046165	1041
135	1042_SRR17046164	PRJNA783885	SRR17046164	1042
136	1043_SRR17046163	PRJNA783885	SRR17046163	1043
137	1044_SRR17046162	PRJNA783885	SRR17046162	1044
138	1045_SRR17046161	PRJNA783885	SRR17046161	1045
139	1046_SRR17046160	PRJNA783885	SRR17046160	1046
140	1047_SRR17046159	PRJNA783885	SRR17046159	1047
141	1048_SRR17046158	PRJNA783885	SRR17046158	1048
