index	Fgra_Original_VCF_ID	Final_SNPversity ID	SNPversity_Population Strcture_SplitsTree	SNPversity_Species	Host Crop;Variety	Chemotype	Country
1	06163mAP	6163	NA3	Fusarium graminearum	Triticum aestivum	3	USA
2	31619mAP	31619	NA2	Fusarium graminearum	Triticum aestivum	15	South Africa
3	31620mAP	31620	NA2	Fusarium graminearum	Triticum aestivum	15	South Africa
4	34302mAP	34302	NA1	Fusarium graminearum	Zea mays	15	South Africa
5	34494mAP	34494	NA2	Fusarium graminearum	Triticum aestivum	15	South Africa
6	34540mAP	34540	NA1	Fusarium graminearum	unknown	15	South Africa
7	34583mAP	34583	NA2	Fusarium graminearum	unknown	15	South Africa
8	34584mAP	34584	NA2	Fusarium graminearum	unknown	15	South Africa
9	34585mAP	34585	Unknown	Fusarium graminearum	unknown	3	South Africa
10	34586mAP	34586	Unknown	Fusarium graminearum	unknown	15	South Africa
11	36905mAP	36905	Outgroups	Fusarium gerlachii	Triticum aestivum	NIV	USA
12	36970trimmAP	36970	Unknown	Fusarium graminearum	Triticum aestivum	15	Uruguay
13	37401mAP	37401	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
14	37408mAP	37408	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
15	37425mAP	37425	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
16	37450mAP	37450	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
17	37509mAP	37509	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
18	37525mAP	37525	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
19	38165mAP	38165	NA2	Fusarium graminearum	Zea mays	15	South Africa
20	38369mAP	38369	Unknown	Fusarium graminearum	Triticum aestivum	3	USA
21	38380mAP	38380	Outgroups	Fusarium gerlachii	Arundo donax	NIV	USA
22	38381mAP	38381	Unknown	Fusarium graminearum	Triticum aestivum	3	USA
23	38383mAP	38383	Unknown	Fusarium graminearum	Triticum aestivum	NIV	USA
24	38393mAP	38393	Unknown	Fusarium graminearum	Triticum aestivum	15	USA
